RowNumber,Emplyee ID,Hours Training,Geography,Gender,Age,Years of Experience,Number of Machines S/he can work with,Married,Has a Bachelor or Higher Degree,Annual Salary, Reciev Bonus
1,15634602,619,USA,Female,42,2,1,1,1,101349,1
2,15647311,608,Canada,Female,41,1,1,0,1,112543,0
3,15619304,502,USA,Female,42,8,3,1,0,113932,1
4,15701354,699,USA,Female,39,1,2,0,0,93827,0
5,15737888,850,Canada,Female,43,2,1,1,1,79084,0
6,15574012,645,Canada,Male,44,8,2,1,0,149757,1
7,15592531,822,USA,Male,50,7,2,1,1,10063,0
8,15656148,376,Mexico,Female,29,4,4,1,0,119347,1
9,15792365,501,USA,Male,44,4,2,0,1,74941,0
10,15592389,684,USA,Male,27,2,1,1,1,71726,0
11,15767821,528,USA,Male,31,6,2,0,0,80181,0
12,15737173,497,Canada,Male,24,3,2,1,0,76390,0
13,15632264,476,USA,Female,34,10,2,1,0,26261,0
14,15691483,549,USA,Female,25,5,2,0,0,190858,0
15,15600882,635,Canada,Female,35,7,2,1,1,65952,0
16,15643966,616,Mexico,Male,45,3,2,0,1,64327,0
17,15737452,653,Mexico,Male,58,1,1,1,0,5098,1
18,15788218,549,Canada,Female,24,9,2,1,1,14406,0
19,15661507,587,Canada,Male,45,6,1,0,0,158685,0
20,15568982,726,USA,Female,24,6,2,1,1,54724,0
21,15577657,732,USA,Male,41,8,2,1,1,170886,0
22,15597945,636,Canada,Female,32,8,2,1,0,138555,0
23,15699309,510,Canada,Female,38,4,1,1,0,118914,1
24,15725737,669,USA,Male,46,3,2,0,1,8488,0
25,15625047,846,USA,Female,38,5,1,1,1,187616,0
26,15738191,577,USA,Male,25,3,2,0,1,124508,0
27,15736816,756,Mexico,Male,36,2,1,1,1,170042,0
28,15700772,571,USA,Male,44,9,2,0,0,38433,0
29,15728693,574,Mexico,Female,43,3,1,1,1,100187,0
30,15656300,411,USA,Male,29,0,2,1,1,53483,0
31,15589475,591,Canada,Female,39,3,3,1,0,140469,1
32,15706552,533,USA,Male,36,7,1,0,1,156732,0
33,15750181,553,Mexico,Male,41,9,2,0,0,81899,0
34,15659428,520,Canada,Female,42,6,2,1,1,34411,0
35,15732963,722,Canada,Female,29,9,2,1,1,142033,0
36,15794171,475,USA,Female,45,0,1,1,0,27823,1
37,15788448,490,Canada,Male,31,3,1,0,1,114067,0
38,15729599,804,Canada,Male,33,7,1,0,1,98453,0
39,15717426,850,USA,Male,36,7,1,1,1,40813,0
40,15585768,582,Mexico,Male,41,6,2,0,1,178074,0
41,15619360,472,Canada,Male,40,4,1,1,0,70154,0
42,15738148,465,USA,Female,51,8,1,0,0,181298,1
43,15687946,556,USA,Female,61,2,1,1,1,94154,0
44,15755196,834,USA,Female,49,2,1,0,0,194366,1
45,15684171,660,Canada,Female,61,5,1,1,1,158338,0
46,15754849,776,Mexico,Female,32,4,2,1,1,126517,0
47,15602280,829,Mexico,Female,27,9,1,1,1,119708,1
48,15771573,637,Mexico,Female,39,9,1,1,1,117623,1
49,15766205,550,Mexico,Male,38,2,1,0,1,90878,0
50,15771873,776,Mexico,Female,37,2,2,1,0,194099,0
51,15616550,698,Mexico,Male,44,10,2,1,0,198059,0
52,15768193,585,Mexico,Male,36,5,2,0,0,86425,0
53,15683553,788,USA,Female,33,5,2,0,0,116978,0
54,15702298,655,Mexico,Male,41,8,1,0,0,164041,1
55,15569590,601,Mexico,Male,42,1,1,1,0,40015,1
56,15760861,619,USA,Male,43,1,1,1,1,113410,0
57,15630053,656,USA,Male,45,5,1,1,0,87108,0
58,15647091,725,Mexico,Male,19,0,1,0,0,45614,0
59,15623944,511,Canada,Female,66,4,1,1,0,1643,1
60,15804771,614,USA,Male,51,4,1,1,1,46775,0
61,15651280,742,Mexico,Male,35,5,1,0,0,84510,0
62,15773469,687,Mexico,Female,27,9,2,0,0,126495,0
63,15702014,555,Canada,Male,33,1,2,0,0,178798,0
64,15751208,684,Canada,Male,56,8,1,1,1,99398,0
65,15592461,603,Mexico,Male,26,4,1,1,1,92841,0
66,15789484,751,Mexico,Female,36,6,2,1,1,27758,0
67,15696061,581,Mexico,Female,34,1,1,1,0,110432,0
68,15641582,735,Mexico,Male,43,10,2,1,1,196673,0
69,15638424,661,Mexico,Female,35,5,2,0,1,113657,0
70,15755648,675,USA,Female,21,8,1,1,0,18203,0
71,15703793,738,Mexico,Male,58,2,4,1,0,28374,1
72,15620344,813,USA,Male,29,6,1,1,0,33954,0
73,15812518,657,Canada,Female,37,0,1,0,1,44204,0
74,15779052,604,Mexico,Female,25,5,2,1,1,58427,0
75,15770811,519,USA,Male,36,9,2,0,1,145562,0
76,15780961,735,USA,Female,21,1,2,1,0,22388,0
77,15614049,664,USA,Male,55,8,2,1,1,139162,0
78,15662085,678,USA,Female,32,9,1,1,1,148211,0
79,15575185,757,Canada,Male,33,5,1,0,1,194240,0
